Location,distance_f,distance_u,seed1,Year.1,team_fav,power_fav,seed2,team_under,power_under,win_home,W-L%_f,SRS_f,SOS_f,w-l%_pct_conf_f,PTS/G_f,PTSopp/G_,FG/G_f,FGA/G_f,FG%_f,3P/G_f,3PA/G_f,3P%_f,FT/G_f,FTA/G_f,ORB/G_f,TRB/G_f,AST/G_f,STL/G_f,BLK/G_f,TOV/G_f,PF/G_f,W-L%_u,SRS_u,SOS_u,w-l%_pct_conf_u,PTS/G_u,PTSopp/G_u,FG/G_u,FGA/G_u,FG%_u,3P/G_u,3PA/G_u,3P%_u,FT/G_u,FTA/G_u,ORB/G_u,TRB/G_u,AST/G_u,STL/G_u,BLK/G_u,TOV/G_u,PF/G_u
"San Diego, CA",2,2,4,2018,Wichita State,0,13,Marshall,0,0,0.781,17.53,5.87,0.777777778,83,71.34375,29.0625,60.75,0.478,9.125,23.6875,0.385,15.75,21.34375,12.15625,40.34375,18.53125,4.6875,3.9375,11.5625,17.5625,0.706,3.61,-0.91,0.666666667,84.26470588,78.82352941,29.17647059,62.20588235,0.469,10.02941176,28.35294118,0.354,15.88235294,20.70588235,8.058823529,36.23529412,17.20588235,6.852941176,5.823529412,13.20588235,17.23529412
"San Diego, CA",2,2,4,2018,Auburn,1,13,Charleston,0,1,0.781,17.53,7.47,0.722222222,83.375,73.3125,27.125,61.78125,0.439,9.75,26.625,0.366,19.375,24.65625,12.125,38.1875,14.4375,7.4375,5.40625,12.28125,19.84375,0.788,1.62,-3.8,0.777777778,75.09090909,68.75757576,25.81818182,56.18181818,0.46,7.696969697,21.18181818,0.363,15.75757576,20.75757576,8.484848485,33,11.42424242,5.181818182,3.606060606,9.636363636,16.36363636
Boise,1,2,4,2018,Arizona,1,13,Buffalo,0,0,0.794,16.92,7.21,0.777777778,80.88235294,71.17647059,28.82352941,57.05882353,0.505,6.911764706,18.35294118,0.377,16.32352941,21.44117647,10.02941176,36.64705882,15.23529412,4.941176471,4.558823529,12.26470588,17.41176471,0.765,7.62,-0.56,0.833333333,84.79411765,75.85294118,30.73529412,64.85294118,0.474,9.676470588,26.08823529,0.371,13.64705882,19.58823529,11.97058824,39,16.94117647,6.382352941,4.205882353,12.52941176,21.14705882
Boise,1,2,4,2018,Arizona,1,5,Kentucky,1,0,0.794,16.92,7.21,0.777777778,80.88235294,71.17647059,28.82352941,57.05882353,0.505,6.911764706,18.35294118,0.377,16.32352941,21.44117647,10.02941176,36.64705882,15.23529412,4.941176471,4.558823529,12.26470588,17.41176471,0.656,11.24,2.37,0.722222222,76.4375,67.5625,27.34375,56.65625,0.483,10.6875,27.3125,0.391,11.0625,13.875,6.8125,32.8125,16.84375,4.78125,1.96875,9.5625,15.03125
Boise,1,2,4,2018,Arizona,1,12,Davidson,0,0,0.794,16.92,7.21,0.777777778,80.88235294,71.17647059,28.82352941,57.05882353,0.505,6.911764706,18.35294118,0.377,16.32352941,21.44117647,10.02941176,36.64705882,15.23529412,4.941176471,4.558823529,12.26470588,17.41176471,0.765,7.62,-0.56,0.833333333,84.79411765,75.85294118,30.73529412,64.85294118,0.474,9.676470588,26.08823529,0.371,13.64705882,19.58823529,11.97058824,39,16.94117647,6.382352941,4.205882353,12.52941176,21.14705882
Boise,2,2,5,2018,Ohio State,1,12,South Dakota State,0,1,0.75,18.1,8.97,0.833333333,75.8125,66.6875,27.9375,57.5625,0.485,6.75,19.125,0.353,13.1875,18.15625,9.65625,36.6875,14.75,6.03125,3.96875,11.8125,17.375,0.824,7.14,-0.59,0.928571429,84.85294118,74.05882353,28.79411765,61.29411765,0.47,10.61764706,26.35294118,0.403,16.64705882,21.91176471,8.882352941,38.85294118,13.5,4.970588235,2.294117647,10,16.08823529
"San Diego, CA",2,1,5,2018,Clemson,1,12,New Mexico State,0,1,0.719,16.51,9.04,0.611111111,73.28125,65.8125,25.28125,55.8125,0.453,8.3125,22.6875,0.366,14.40625,19.03125,8.9375,35.5,13.1875,5.6875,4.84375,12.09375,16,0.848,9.48,-1.39,0.857142857,75.87878788,63.75757576,28.45454545,61.87878788,0.46,7.545454545,22.66666667,0.333,11.42424242,17.75757576,12.6969697,41.45454545,14.15151515,5.636363636,3.060606061,12.66666667,17.90909091
"San Diego, CA",2,2,5,2018,West Virginia,1,12,Murray State,0,1,0.706,20.17,9.55,0.611111111,79.61764706,69,27.76470588,64,0.434,8.794117647,24.91176471,0.353,15.29411765,19.97058824,14,37.91176471,15.05882353,8.029411765,5.264705882,11.32352941,21.32352941,0.839,7.19,-4.16,0.888888889,78.93548387,65.5483871,27.38709677,56.51612903,0.485,8.516129032,22.4516129,0.379,15.64516129,21.41935484,10.5483871,37.09677419,14.80645161,6.806451613,3.161290323,11.87096774,17.32258065
Boise,2,2,5,2018,Kentucky,1,12,Davidson,0,1,0.706,17.6,11.16,0.555555556,76.73529412,70.29411765,27.05882353,57.58823529,0.47,5.441176471,15.08823529,0.361,17.17647059,24.64705882,12.08823529,38.67647059,13.38235294,5.617647059,4.882352941,13,18.88235294,0.656,11.24,2.37,0.722222222,76.4375,67.5625,27.34375,56.65625,0.483,10.6875,27.3125,0.391,11.0625,13.875,6.8125,32.8125,16.84375,4.78125,1.96875,9.5625,15.03125
Dallas,2,2,6,2018,Florida,1,11,UCLA,1,1,0.625,16.81,10.19,0.611111111,76.0625,69.4375,26.28125,60.53125,0.434,9.125,24.3125,0.375,14.375,20,10.78125,35.125,12.96875,6.84375,4.71875,9.84375,17.25,0.656,12.85,7.26,0.611111111,81.90625,76.3125,28.3125,61.375,0.461,9.375,24.46875,0.383,15.90625,22.03125,10.3125,38.8125,15.0625,5.71875,3.90625,11.84375,17.9375
